TF,Target
YDR253C,YER091C
YIL101C,YER119C
YKL062W,YER141W
YFL021W,YER152C
YFL031W,YER152C
YGL254W,YER170W
YBL103C,YER175C
YJL089W,YER175C
YNL314W,YER175C
YDL170W,YER175C
YEL009C,YER178W
YMR280C,YFL011W
YJL089W,YFL022C
YGL166W,YFL030W
YFL031W,YFL045C
YKL062W,YFR015C
YIL101C,YFR015C
YLR256W,YFR015C
YDR253C,YFR030W
YKL109W,YFR033C
YGL209W,YFR033C
YMR070W,YFR033C
YDR216W,YFR053C
YKL062W,YFR053C
YMR037C,YFR053C
YNL068C,YGL008C
YLR098C,YGL008C
YGL013C,YGL012W
YOL028C,YGL012W
YKL062W,YGL037C
YDL170W,YGL037C
YEL009C,YGL055W
YKL109W,YGL055W
YKL062W,YGL062W
YFL031W,YGL063W
YDR123C,YGL077C
YER111C,YGL080W
YER111C,YGL125W
YDR253C,YGL125W
YBR182C,YGL154C
YDR253C,YGL184C
YGL071W,YGL184C
YKL109W,YGL187C
YEL009C,YGL187C
YKL038W,YGL187C
YGL209W,YGL187C
YKL109W,YGL191W
YKL038W,YGL191W
YPR065W,YGL191W
YEL009C,YGL202W
YOR337W,YGL202W
YKL062W,YGL205W
YOR363C,YGL205W
YCR065W,YGL225W
YDR423C,YGL225W
YGL209W,YGL234W
YGR044C,YGL248W
YPL089C,YGL248W
YGL209W,YGL253W
YJL056C,YGL256W
YGR044C,YGR019W
YDR216W,YGR032W
YGL166W,YGR032W
YLR256W,YGR032W
YPL089C,YGR032W
YOR028C,YGR032W
YBL005W,YGR060W
YBL103C,YGR065C
YJL089W,YGR065C
YDR253C,YGR087C
YGR044C,YGR088W
YKL062W,YGR088W
YMR070W,YGR088W
YGL035C,YGR094W
YDR123C,YGR096W
YMR043W,YGR096W
YJL089W,YGR110W
YKL062W,YGR110W
YER040W,YGR110W
YPR065W,YGR110W
YFL021W,YGR121C
YKL062W,YGR138C
YOL028C,YGR138C
YLR098C,YGR138C
YKL062W,YGR143W
YOL108C,YGR157W
YMR037C,YGR180C
YHR206W,YGR180C
YKL109W,YGR183C
YPR065W,YGR183C
YMR070W,YGR191W
YHR206W,YGR194C
YKL062W,YGR194C
YML007W,YGR209C
YPL075W,YGR240C
YKL109W,YGR243W
YGL071W,YGR248W
YMR037C,YGR248W
YKL062W,YGR248W
YIL101C,YGR248W
YJL089W,YGR256W
YEL009C,YGR282C
YLR176C,YGR287C
YKL109W,YGR289C
YOL028C,YGR289C
YEL009C,YHL011C
YKR034W,YHL016C
YBR182C,YHL016C
YOL028C,YHL032C
YDR253C,YHL036W
YKL109W,YHR001W-A
YPR065W,YHR001W-A
YOR028C,YHR011W
YJL089W,YHR018C
YDL170W,YHR018C
YBL103C,YHR018C
YOR337W,YHR018C
YDR034C,YHR018C
YEL009C,YHR026W
YPL075W,YHR046C
YMR042W,YHR046C
YNL068C,YHR046C
YKL109W,YHR051W
YGR044C,YHR067W
YOL108C,YHR067W
YDR123C,YHR067W
YGL209W,YHR092C
YKL062W,YHR092C
YGL209W,YHR094C
YDR216W,YHR094C
YGL035C,YHR094C
YGL035C,YHR096C
YJL089W,YHR096C
YGL166W,YHR096C
YGR044C,YHR104W
YKR034W,YHR104W
YHR206W,YHR104W
YKL038W,YHR123W
YPR065W,YHR123W
YHR206W,YHR128W
YDL020C,YHR137W
YHR084W,YHR144C
YDR216W,YHR144C
YOL028C,YHR144C
YEL009C,YHR162W
YOR337W,YHR162W
YHR206W,YHR190W
YDR216W,YHR208W
YMR037C,YHR216W
YOR358W,YHR216W
YKL062W,YHR216W
YPL075W,YHR216W
YKL185W,YIL009W
YMR037C,YIL053W
YPL075W,YIL053W
YKL109W,YIL053W
YBR083W,YIL053W
YIL101C,YIL066C
YBL021C,YIL066C
YCR065W,YIL066C
YDR253C,YIL074C
YLR256W,YIL083C
YNL027W,YIL083C
YEL009C,YIL094C
YDR034C,YIL094C
YIL101C,YIL099W
YKL062W,YIL111W
YPR065W,YIL111W
YDL020C,YIL111W
YKL185W,YIL111W
YGR044C,YIL111W
YOR337W,YIL116W
YBL103C,YIL116W
YGL209W,YIL124W
YAL051W,YIL145C
YDR216W,YIL155C
YPR065W,YIL155C
YOR363C,YIL160C
YIL101C,YIL160C
YJL110C,YIL162W
YPL248C,YIL162W
YKR034W,YIR028W
YKR034W,YIR029W
YFL021W,YIR029W
YKR034W,YIR031C
YFL021W,YIR032C
YKR034W,YIR032C
YDR034C,YIR034C
YOR337W,YIR034C
YDL170W,YIR034C
YDR216W,YIR034C
YGL209W,YIR037W
YNL068C,YJL026W
YOL028C,YJL045W
YIL101C,YJL045W
YJL089W,YJL045W
YLR256W,YJL052W
YDR253C,YJL060W
YJL089W,YJL088W
YBL103C,YJL088W
YPR065W,YJL100W
YKL038W,YJL100W
YDR253C,YJL101C
YML007W,YJL101C
YNL167C,YJL137C
YDR123C,YJL153C
YOL108C,YJL153C
YPL089C,YJL155C
YJL089W,YJL155C
YKL109W,YJL166W
YMR070W,YJL166W
YOR028C,YJL196C
YKL062W,YJL196C
YDR253C,YJL212C
YGL209W,YJL214W
YNL204C,YJL216C
YKL015W,YJL216C
YGL209W,YJL219W
YPL248C,YJL221C
YDR253C,YJR010W
YBR083W,YJR025C
YGL035C,YJR025C
YPR065W,YJR048W
YKL109W,YJR048W
YOL028C,YJR048W
YOR358W,YJR048W
YKL038W,YJR048W
YOL108C,YJR073C
YEL009C,YJR077C
YKL109W,YJR077C
YDL170W,YJR109C
YEL009C,YJR109C
YPR065W,YJR109C
YBL103C,YJR109C
YKL185W,YJR110W
YEL009C,YJR121W
YKL109W,YJR121W
YDL170W,YJR130C
YBL103C,YJR130C
YKL015W,YJR130C
YDR123C,YJR133W
YOL108C,YJR133W
YDR253C,YJR137C
YFL031W,YJR143C
YKR034W,YJR152W
YJL110C,YJR152W
YCL055W,YJR153W
YNL204C,YJR153W
YDR259C,YJR158W
YGR044C,YJR158W
YGL166W,YJR158W
YDR259C,YJR159W
YDR253C,YKL001C
YBR182C,YKL001C
YGR044C,YKL008C
YFL031W,YKL008C
YPL248C,YKL008C
YKL109W,YKL016C
YPL248C,YKL024C
YCL055W,YKL029C
YEL009C,YKL035W
YGL254W,YKL035W
YKL062W,YKL035W
YEL009C,YKL060C
YKL109W,YKL085W
YGL209W,YKL085W
YMR021C,YKL085W
YCL055W,YKL104C
YPL089C,YKL104C
YGL035C,YKL104C
YKL015W,YKL106W
YJR094C,YKL106W
YBL103C,YKL106W
YKL015W,YKL120W
YPL089C,YKL120W
YNL204C,YKL132C
YKL109W,YKL141W
YKL109W,YKL148C
YLR256W,YKL152C
YIL036W,YKL165C
YGL166W,YKL174C
YEL009C,YKL181W
YGR044C,YKL184W
YJL089W,YKL188C
YKR064W,YKL188C
YOR358W,YKL194C
YDL170W,YKL211C
YBL103C,YKL211C
YKL015W,YKL211C
YKL109W,YKL217W
YMR280C,YKL217W
YKL062W,YKL217W
YFL021W,YKR039W
YKR034W,YKR039W
YKL062W,YKR058W
YKL109W,YKR058W
YBR182C,YKR061W
YPL089C,YKR061W
YHR124W,YKR061W
YKL038W,YKR066C
YDR253C,YKR069W
YBR083W,YKR089C
YMR037C,YKR097W
YJL089W,YKR097W
YPL089C,YLL012W
YDL020C,YLL028W
YHR178W,YLL028W
YKL062W,YLL028W
YKL109W,YLL041C
YKL062W,YLL041C
YGL209W,YLL041C
YLR176C,YLL043W
YBR182C,YLL052C
YDR253C,YLL061W
YLR228C,YLL061W
YKL062W,YLL061W
YDR253C,YLL062C
YLR014C,YLR020C
YKL109W,YLR038C
YEL009C,YLR038C
YLR256W,YLR056W
YBR182C,YLR058C
YMR037C,YLR060W
YOR028C,YLR081W
YEL009C,YLR089C
YDR253C,YLR092W
YDR123C,YLR133W
YEL009C,YLR138W
YHR084W,YLR138W
YKR034W,YLR142W
YFL021W,YLR142W
YPR065W,YLR153C
YLR098C,YLR153C
YHR206W,YLR172C
YJL089W,YLR174W
YDR253C,YLR180W
YKL062W,YLR201C
YMR021C,YLR237W
YOL067C,YLR245C
YKL062W,YLR258W
YGR044C,YLR258W
YOR028C,YLR258W
YIL101C,YLR258W
YOR363C,YLR284C
YKL109W,YLR295C
YKL185W,YLR300W
YIL036W,YLR300W
YKL062W,YLR300W
YGR044C,YLR300W
YDR253C,YLR303W
YDL170W,YLR303W
YKL109W,YLR304C
YBL005W,YLR304C
YKR034W,YLR307W
YEL009C,YLR355C
YMR021C,YLR355C
YGL209W,YLR359W
YMR021C,YLR359W
YJL089W,YLR377C
YLR256W,YLR386W
YKR064W,YLR386W
YKL109W,YLR395C
YKL185W,YLR395C
YGL071W,YLR420W
YKL112W,YLR438W
YGL254W,YLR438W
YGL013C,YLR447C
YLR256W,YLR450W
YIL131C,YML008C
YJL089W,YML042W
YPR065W,YML054C
YPR065W,YML075C
YMR037C,YML100W
YKL062W,YML100W
YIL101C,YML100W
YEL009C,YML106W
YKL109W,YML120C
YJR060W,YML123C
YOL028C,YML126C
YPR065W,YML126C
YKL062W,YML126C
YGR044C,YMR006C
YMR021C,YMR008C
YPR065W,YMR009W
YDR253C,YMR009W
YGL035C,YMR011W
YPR065W,YMR015C
YMR021C,YMR020W
YPL075W,YMR020W
YPR065W,YMR020W
YNL103W,YMR041C
YDL170W,YMR062C
YBL103C,YMR062C
YKL112W,YMR083W
YKR034W,YMR088C
YFL021W,YMR088C
YEL009C,YMR088C
YKL062W,YMR105C
YGL071W,YMR105C
YDR034C,YMR108W
YEL009C,YMR108W
YOR337W,YMR108W
YOR363C,YMR108W
YGL209W,YMR120C
YKL109W,YMR145C
YPR065W,YMR145C
YOL028C,YMR145C
YBL021C,YMR145C
YLR256W,YMR145C
YNL216W,YMR170C
YLR228C,YMR189W
YGL209W,YMR189W
YBL005W,YMR189W
YPL075W,YMR205C
YPR065W,YMR220W
YMR037C,YMR226C
YIL131C,YMR241W
YLR256W,YMR246W
YLR228C,YMR246W
YIL101C,YMR250W
YKL062W,YMR250W
YGL209W,YMR250W
YNL216W,YMR250W
YGR044C,YMR250W
YKL109W,YMR256C
YMR280C,YMR256C
YMR037C,YMR261C
YKL185W,YMR267W
YKL062W,YMR272C
YKL038W,YMR278W
YHR084W,YMR278W
YPL075W,YMR278W
YGL209W,YMR300C
YJR094C,YMR318C
YOR028C,YMR318C
YDR253C,YMR319C
YGL166W,YNL003C
YOR363C,YNL009W
YBR182C,YNL029C
YKL109W,YNL037C
YPR065W,YNL052W
YKL109W,YNL052W
YMR037C,YNL052W
YKL038W,YNL052W
YLR256W,YNL052W
YOR358W,YNL073W
YJL110C,YNL101W
YEL009C,YNL104C
YDL170W,YNL104C
YJL089W,YNL117W
YOR337W,YNL129W
YJL089W,YNL141W
YOR337W,YNL141W
YFL021W,YNL142W
YKR034W,YNL142W
YOL108C,YNL169C
YDR123C,YNL169C
YGL166W,YNL192W
YPL089C,YNL192W
YNL027W,YNL192W
YHR084W,YNL192W
YKL062W,YNL202W
YKL112W,YNL220W
YOL028C,YNL220W
YML007W,YNL241C
YFL031W,YNL241C
YJL089W,YNL270C
YDR253C,YNL277W
YMR280C,YNL318C
YMR021C,YNL325C
YKL109W,YNR001C
YFL031W,YNR008W
YLR451W,YNR008W
YNL068C,YNR013C
YIR023W,YNR041C
YKL038W,YNR041C
YDR034C,YNR050C
YHR206W,YNR050C
YJL089W,YNR058W
YGR044C,YNR067C
YKL185W,YNR067C
YNL216W,YNR067C
YGL166W,YOL011W
YOR358W,YOL033W
YJL056C,YOL049W
YBL103C,YOL058W
YDR034C,YOL058W
YDL170W,YOL058W
YMR280C,YOL059W
YPL075W,YOL059W
YOR337W,YOL064C
YOR358W,YOL096C
YPR065W,YOL096C
YDR216W,YOL126C
YMR043W,YOL126C
YGL209W,YOL136C
YKL062W,YOL136C
YMR037C,YOL136C
YOR337W,YOL136C
YOR337W,YOL140W
YPL075W,YOL140W
YHR178W,YOL140W
YOR028C,YOL151W
YBR083W,YOL151W
YBL005W,YOL151W
YMR037C,YOL151W
YGL209W,YOR011W
YDR146C,YOR025W
YLR131C,YOR025W
YOR028C,YOR054C
YKL109W,YOR065W
YPR065W,YOR065W
YKL038W,YOR065W
YLR228C,YOR065W
YBR083W,YOR065W
YDR123C,YOR095C
YFL031W,YOR099W
YJL089W,YOR100C
YEL009C,YOR108W
YKL062W,YOR120W
YOR028C,YOR120W
YMR070W,YOR128C
YOR337W,YOR130C
YDL170W,YOR130C
YKL109W,YOR136W
YEL009C,YOR142W
YLR098C,YOR142W
YAL051W,YOR143C
YGL071W,YOR175C
YDL020C,YOR180C
YOR363C,YOR180C
YDL170W,YOR202W
YOR337W,YOR202W
YEL009C,YOR303W
YPR065W,YOR303W
YEL009C,YOR311C
YOR028C,YOR317W
YMR070W,YOR317W
YAL051W,YOR317W
YOR337W,YOR323C
YLR176C,YOR323C
YOR337W,YOR335C
YLR256W,YOR347C
YPR065W,YOR348C
YKR034W,YOR360C
YOR028C,YOR374W
YFL021W,YOR375C
YLR228C,YOR377W
YKL062W,YPL015C
YDL170W,YPL015C
YGL035C,YPL023C
YLR098C,YPL036W
YDR423C,YPL036W
YOR358W,YPL040C
YPL089C,YPL053C
YKL109W,YPL057C
YGL166W,YPL057C
YKL062W,YPL061W
YOR028C,YPL061W
YMR070W,YPL061W
YJR094C,YPL061W
YLR098C,YPL069C
YKL109W,YPL078C
YGL035C,YPL078C
YDR216W,YPL087W
YGR044C,YPL087W
YOR028C,YPL091W
YGL209W,YPL092W
YOR358W,YPL097W
YOR358W,YPL104W
YPL089C,YPL110C
YPR065W,YPL117C
YOR363C,YPL147W
YEL009C,YPL160W
YOR358W,YPL172C
YEL009C,YPL188W
YPR065W,YPL188W
YGL209W,YPL189W
YLR451W,YPL234C
YKL109W,YPL262W
YNL204C,YPL265W
YKR034W,YPL265W
YGL071W,YPL265W
YJR094C,YPR001W
YKL109W,YPR002W
YJR094C,YPR006C
YGL035C,YPR020W
YKL109W,YPR020W
YIL101C,YPR026W
YOR358W,YPR047W
YGR044C,YPR060C
YMR070W,YPR113W
YBR182C,YPR121W
YPR065W,YPR128C
YNL068C,YPR138C
YAL051W,YPR138C
YCL055W,YPR140W
YOR337W,YPR145W
YKL062W,YPR156C
YNL068C,YPR156C
YKL062W,YPR160W
YDR253C,YPR167C
YBR182C,YPR167C
YIL101C,YPR184W
YLR176C,YPR184W
YKL062W,YPR184W
YKL109W,YPR191W
YJL110C,YAL022C
YLR131C,YAL023C
YPL248C,YAL044C
YMR037C,YAL060W
YDR216W,YAL062W
YJL089W,YAR035W
YNL314W,YBL011W
YKL038W,YBL015W
YOR358W,YBL015W
YBL021C,YBL033C
YPR065W,YBL045C
YHR206W,YBL064C
YBR182C,YBR003W
YHR124W,YBR018C
YBL103C,YBR035C
YNL314W,YBR085W
YPL075W,YBR092C
YKL015W,YBR115C
YMR070W,YBR117C
YJL089W,YBR117C
YIL101C,YBR126C
YDR216W,YBR145W
YIL131C,YBR149W
YBR182C,YBR176W
YMR037C,YBR183W
YJR094C,YBR192W
YHR178W,YBR205W
YGL071W,YBR213W
YBL103C,YBR218C
YKL109W,YBR244W
YDR207C,YBR248C
YOR337W,YBR256C
YBL103C,YBR291C
YGL209W,YBR294W
YKL062W,YBR296C
YDR253C,YBR299W
YLR228C,YBR299W
YBL103C,YCL030C
YBL005W,YCL030C
YHR206W,YCL035C
YKL062W,YCL035C
YGR044C,YCL038C
YKL109W,YCL038C
YDR216W,YCL040W
YIL101C,YCL040W
YLR228C,YCR005C
YLR256W,YCR048W
YJL089W,YCR098C
YEL009C,YDL004W
YGL166W,YDL066W
YIL101C,YDL085W
YMR280C,YDL085W
YPL248C,YDL093W
YFL031W,YDL095W
YDL170W,YDL171C
YMR037C,YDL174C
YKL062W,YDL182W
YJL089W,YDL182W
YNL103W,YDL215C
YBL103C,YDR127W
YKL038W,YDR147W
YBR083W,YDR158W
YDR216W,YDR191W
YKL062W,YDR261C
YHR178W,YDR272W
YMR037C,YDR298C
YKL185W,YDR305C
YPL248C,YDR321W
YOL028C,YDR343C
YKL109W,YDR345C
YBL103C,YDR354W
YCL055W,YDR373W
YDR259C,YDR373W
YFL031W,YDR400W
YBL103C,YDR408C
YPL075W,YDR408C
YDL170W,YDR487C
YDR253C,YDR502C
YBR083W,YDR529C
YNL167C,YEL021W
YKL109W,YEL029C
YGR044C,YEL039C
YGL071W,YEL039C
YJL089W,YEL041W
YHR206W,YEL046C
YLR256W,YEL047C
YLR228C,YEL071W
YKL062W,YER037W
YJR060W,YER053C
YBL005W,YER053C
YEL009C,YER055C
YEL009C,YER056C
YJL110C,YER056C
YKL109W,YER060W
YIL101C,YER060W
YGL209W,YER061C
YDR123C,YER065C
YKL062W,YER065C
YOR337W,YER069W
YOR337W,YER090W
YGL166W,YER091C
YGL209W,YER141W
YKL038W,YER141W
YOR358W,YER152C
YNL204C,YER152C
YPL248C,YER174C
YDR034C,YER175C
YIL131C,YFL017C
YPR065W,YFL030W
YEL009C,YFR015C
YLR176C,YFR015C
YGL209W,YFR015C
YOR337W,YGL026C
YOR358W,YGL040C
YDR123C,YGL055W
YPR065W,YGL055W
YDL170W,YGL125W
YKR064W,YGL186C
YEL009C,YGL186C
YBL103C,YGL186C
YBR083W,YGL191W
YGL209W,YGL191W
YJL089W,YGL205W
YLR228C,YGL253W
YKL062W,YGR019W
YDL170W,YGR055W
YIL101C,YGR088W
YKL112W,YGR088W
YOR028C,YGR088W
YGL166W,YGR110W
YIL036W,YGR124W
YKL109W,YGR171C
YIL131C,YGR177C
YFL021W,YGR204W
YBL103C,YGR204W
YER040W,YGR204W
YHR206W,YGR240C
YGL071W,YGR277C
YMR037C,YGR286C
YGL209W,YGR292W
YKL062W,YHL032C
YOR358W,YHL036W
YIL131C,YHR020W
YIL101C,YHR096C
YDL170W,YHR096C
YIL131C,YHR100C
YCR065W,YHR100C
YLR228C,YHR137W
YIL101C,YIL006W
YGL166W,YIL010W
YGL209W,YIL013C
YEL009C,YIL116W
YGR044C,YIL124W
YKL109W,YIL125W
YKL109W,YIL162W
YNL216W,YIL162W
YLR228C,YIL162W
YBL103C,YIR034C
YNL167C,YJL045W
YPL075W,YJL052W
YBR049C,YJL052W
YJL110C,YJL100W
YKL062W,YJL155C
YPR065W,YJL167W
YDR034C,YJL196C
YGL237C,YJL212C
YMR280C,YJL216C
YGL073W,YJL221C
YLR228C,YJL221C
YDL170W,YJR016C
YLR256W,YJR048W
YHR206W,YJR057W
YMR280C,YJR077C
YKR064W,YJR110W
YGR044C,YJR133W
YBL005W,YJR153W
YOR028C,YJR159W
YLR228C,YKL008C
YMR037C,YKL016C
YEL009C,YKL016C
YGL209W,YKL026C
YKL062W,YKL026C
YMR042W,YKL029C
YOR028C,YKL029C
YOR028C,YKL035W
YFL031W,YKL104C
YDL170W,YKL106W
YOR140W,YKL152C
YKR064W,YKL174C
YEL009C,YKL184W
YGL209W,YKL184W
YOR363C,YKL188C
YEL009C,YKL192C
YER040W,YKL211C
YOR337W,YKL211C
YMR043W,YKL216W
YMR021C,YKR053C
YNL068C,YKR061W
YLR176C,YKR067W
YOR363C,YLL015W
YDL170W,YLL018C
YBL021C,YLL041C
YIL036W,YLR020C
YKL062W,YLR027C
YPR065W,YLR038C
YIL101C,YLR070C
YKL062W,YLR081W
YLR131C,YLR100W
YKL109W,YLR142W
YIL101C,YLR142W
YOL028C,YLR153C
YFL021W,YLR189C
YNL204C,YLR209C
YMR070W,YLR209C
YLR098C,YLR231C
YLR256W,YLR258W
YBR182C,YLR260W
YDL020C,YLR300W
YGL166W,YLR300W
YHR124W,YLR307W
YDR259C,YLR308W
YCR065W,YLR342W
YKL062W,YLR342W
YDR123C,YLR348C
YLR256W,YLR354C
YEL009C,YLR395C
YLR228C,YLR420W
YHR124W,YLR420W
YLR228C,YLR450W
YOR028C,YML004C
YKL109W,YML054C
YMR037C,YML070W
YHR178W,YML075C
YOR028C,YML100W
YBR049C,YML100W
YKL038W,YML106W
YLR256W,YMR006C
YHR178W,YMR006C
YOL028C,YMR015C
YBL103C,YMR108W
YNL103W,YMR169C
YKL062W,YMR189W
YOL028C,YMR220W
YBL103C,YMR250W
YOR358W,YMR267W
YIL101C,YMR293C
YJL110C,YMR300C
YMR070W,YMR300C
YNL167C,YMR319C
YNL027W,YNL003C
YOR363C,YNL037C
YBL005W,YNL101W
YIL036W,YNL104C
YKR034W,YNL117W
YER111C,YNL141W
YFL031W,YNL192W
YKL185W,YNL192W
YOR363C,YNL202W
YNL167C,YNL247W
YDR123C,YNL256W
YJL110C,YNL270C
YNL314W,YNL316C
YHR206W,YNL318C
YMR042W,YNR013C
YJL089W,YNR056C
YJL089W,YNR057C
YOR337W,YOL058W
YOR028C,YOL058W
YDR216W,YOL064C
YNL103W,YOL097C
YPL075W,YOL103W
YJL089W,YOL136C
YGL071W,YOL143C
YPR065W,YOL151W
YMR021C,YOR025W
YPR065W,YOR125C
YGR044C,YOR125C
YBL005W,YOR136W
YJR060W,YOR163W
YBL021C,YOR175C
YPR199C,YOR236W
YOL028C,YOR236W
YJL056C,YOR236W
YOR337W,YOR303W
YDR253C,YOR321W
YMR070W,YOR348C
YMR021C,YOR360C
YKL112W,YOR374W
YGL254W,YOR374W
YGL209W,YOR374W
YKL112W,YOR377W
YOR358W,YPL015C
YPL248C,YPL057C
YGL209W,YPL078C
YLR098C,YPL092W
YGR044C,YPL111W
YML099C,YPL111W
